"subscriptions.date","subscriptions.daily","subscriptions.total","views.date","views.daily","views.total"
2017-02-04,193,5527739,2017-02-04,103042,455078937
2017-02-05,-858,5527932,2017-02-05,140329,455181979
2017-02-06,-965,5527074,2017-02-06,142355,455322308
2017-02-07,-177,5526109,2017-02-07,99088,455464663
2017-02-08,55,5525932,2017-02-08,91694,455563751
2017-02-09,179,5525987,2017-02-09,95347,455655445
2017-02-10,-721,5526166,2017-02-10,93824,455750792
2017-02-11,285,5525445,2017-02-11,98994,455844616
2017-02-12,278,5525730,2017-02-12,122067,455943610
2017-02-13,204,5526008,2017-02-13,123831,456065677
2017-02-14,373,5526212,2017-02-14,112447,456189508
2017-02-15,424,5526585,2017-02-15,102283,456301955
2017-02-16,351,5527009,2017-02-16,110840,456404238
2017-02-17,308,5527360,2017-02-17,107306,456515078
2017-02-18,281,5527668,2017-02-18,118024,456622384
2017-02-19,199,5527949,2017-02-19,141647,456740408
2017-02-20,53,5528148,2017-02-20,146092,456882055
2017-02-21,408,5528201,2017-02-21,128794,457028147
2017-02-22,1497,5528609,2017-02-22,127619,457156941
2017-02-23,1473,5530106,2017-02-23,118129,457284560
2017-02-24,653,5531579,2017-02-24,129517,457402689
2017-02-25,1159,5532232,2017-02-25,126783,457532206
2017-02-26,448,5533391,2017-02-26,0,457658989
2017-02-27,599,5533839,2017-02-27,309412,457658989
2017-02-28,540,5534438,2017-02-28,113478,457968401
2017-03-01,446,5534978,2017-03-01,116288,458081879
2017-03-02,151,5535424,2017-03-02,129864,458198167
2017-03-03,471,5535575,2017-03-03,258867,458328031
2017-03-04,1015,5536046,2017-03-04,0,458586898
2017-03-05,603,5537061,2017-03-05,191555,458586898
2017-03-06,485,5537664,2017-03-06,338488,458778453
2017-03-07,54,5538149,2017-03-07,0,459116941
2017-03-08,281,5538203,2017-03-08,119782,459116941
2017-03-09,354,5538484,2017-03-09,122270,459236723
2017-03-10,212,5538838,2017-03-10,111849,459358993
2017-03-11,401,5539050,2017-03-11,118819,459470842
2017-03-12,167,5539451,2017-03-12,148099,459589661
2017-03-13,283,5539618,2017-03-13,164914,459737760
2017-03-14,93,5539901,2017-03-14,124837,459902674
2017-03-15,37,5539994,2017-03-15,116479,460027511
2017-03-16,200,5540031,2017-03-16,108736,460143990
2017-03-17,-100,5540231,2017-03-17,102200,460252726
2017-03-18,215,5540131,2017-03-18,110375,460354926
2017-03-19,88,5540346,2017-03-19,139134,460465301
2017-03-20,-195,5540434,2017-03-20,136801,460604435
2017-03-21,108,5540239,2017-03-21,89313,460741236
2017-03-22,18,5540347,2017-03-22,170231,460830549
2017-03-23,5,5540365,2017-03-23,0,461000780
2017-03-24,70,5540370,2017-03-24,174561,461000780
2017-03-25,370,5540440,2017-03-25,110151,461175341
2017-03-26,102,5540810,2017-03-26,127622,461285492
2017-03-27,354,5540912,2017-03-27,0,461413114
2017-03-28,219,5541266,2017-03-28,94909,461413114
2017-03-29,-69,5541485,2017-03-29,98993,461508023
2017-03-30,130,5541416,2017-03-30,93357,461607016
2017-03-31,227,5541546,2017-03-31,90773,461700373
2017-04-01,148,5541773,2017-04-01,96188,461791146
2017-04-02,61,5541921,2017-04-02,127611,461887334
2017-04-03,128,5541982,2017-04-03,131205,462014945
2017-04-04,211,5542110,2017-04-04,223501,462146150
2017-04-05,210,5542321,2017-04-05,0,462369651
2017-04-06,239,5542531,2017-04-06,111835,462369651
2017-04-07,233,5542770,2017-04-07,115024,462481486
2017-04-08,342,5543003,2017-04-08,260893,462596510
2017-04-09,557,5543345,2017-04-09,0,462857403
2017-04-10,469,5543902,2017-04-10,151221,462857403
2017-04-11,494,5544371,2017-04-11,174406,463008624
2017-04-12,459,5544865,2017-04-12,162544,463183030
2017-04-13,406,5545324,2017-04-13,150221,463345574
2017-04-14,374,5545730,2017-04-14,308121,463495795
2017-04-15,250,5546104,2017-04-15,136323,463803916
2017-04-16,397,5546354,2017-04-16,0,463940239
2017-04-17,351,5546751,2017-04-17,150605,463940239
2017-04-18,227,5547102,2017-04-18,155299,464090844
2017-04-19,200,5547329,2017-04-19,131578,464246143
2017-04-20,-82,5547529,2017-04-20,117785,464377721
2017-04-21,146,5547447,2017-04-21,116741,464495506
2017-04-22,166,5547593,2017-04-22,123003,464612247
2017-04-23,65,5547759,2017-04-23,140561,464735250
2017-04-24,21,5547824,2017-04-24,0,464875811
2017-04-25,-152,5547845,2017-04-25,150913,464875811
2017-04-26,21,5547693,2017-04-26,215497,465026724
2017-04-27,-68,5547714,2017-04-27,103340,465242221
2017-04-28,-73,5547646,2017-04-28,97414,465345561
2017-04-29,-33,5547573,2017-04-29,91449,465442975
2017-04-30,14,5547540,2017-04-30,244596,465534424
2017-05-01,-150,5547554,2017-05-01,0,465779020
2017-05-02,31,5547404,2017-05-02,130125,465779020
2017-05-03,-37,5547435,2017-05-03,91400,465909145
2017-05-04,-85,5547398,2017-05-04,86409,466000545
2017-05-05,-268,5547313,2017-05-05,78789,466086954
2017-05-06,-111,5547045,2017-05-06,72568,466165743
2017-05-07,-341,5546934,2017-05-07,97809,466238311
2017-05-08,82,5546593,2017-05-08,101277,466336120
2017-05-09,-30,5546675,2017-05-09,79592,466437397
2017-05-10,-55,5546645,2017-05-10,79643,466516989
2017-05-11,-149,5546590,2017-05-11,40347,466596632
2017-05-12,-12,5546441,2017-05-12,106360,466636979
2017-05-13,33,5546429,2017-05-13,181384,466743339
2017-05-14,-258,5546462,2017-05-14,0,466924723
2017-05-15,-149,5546204,2017-05-15,101523,466924723
2017-05-16,-62,5546055,2017-05-16,144103,467026246
2017-05-17,-686,5545993,2017-05-17,0,467170349
2017-05-18,-267,5545307,2017-05-18,58518,467170349
2017-05-19,-298,5545040,2017-05-19,59712,467228867
2017-05-20,-356,5544742,2017-05-20,53207,467288579
2017-05-21,-207,5544386,2017-05-21,136280,467341786
2017-05-22,-205,5544179,2017-05-22,0,467478066
2017-05-23,-175,5543974,2017-05-23,103358,467478066
2017-05-24,-187,5543799,2017-05-24,47154,467581424
2017-05-25,-581,5543612,2017-05-25,48423,467628578
2017-05-26,-195,5543031,2017-05-26,0,467677001
2017-05-27,-300,5542836,2017-05-27,48499,467677001
2017-05-28,-302,5542536,2017-05-28,60239,467725500
2017-05-29,-192,5542234,2017-05-29,66459,467785739
2017-05-30,-234,5542042,2017-05-30,74584,467852198
2017-05-31,-253,5541808,2017-05-31,73887,467926782
2017-06-01,-430,5541555,2017-06-01,72995,468000669
2017-06-02,-194,5541125,2017-06-02,72030,468073664
2017-06-03,-256,5540931,2017-06-03,77010,468145694
2017-06-04,-6,5540675,2017-06-04,73510,468222704
2017-06-05,-273,5540669,2017-06-05,91503,468296214
2017-06-06,-383,5540396,2017-06-06,98672,468387717
2017-06-07,-155,5540013,2017-06-07,93810,468486389
2017-06-08,-284,5539858,2017-06-08,74934,468580199
2017-06-09,-233,5539574,2017-06-09,139604,468655133
2017-06-10,-147,5539341,2017-06-10,0,468794737
2017-06-11,-346,5539194,2017-06-11,83299,468794737
2017-06-12,-125,5538848,2017-06-12,86224,468878036
2017-06-13,-53,5538723,2017-06-13,72742,468964260
2017-06-14,-167,5538670,2017-06-14,65216,469037002
2017-06-15,-90,5538503,2017-06-15,70755,469102218
2017-06-16,-80,5538413,2017-06-16,65769,469172973
2017-06-17,-120,5538333,2017-06-17,61980,469238742
2017-06-18,-26,5538213,2017-06-18,81572,469300722
2017-06-19,-188,5538187,2017-06-19,83620,469382294
2017-06-20,-89,5537999,2017-06-20,73525,469465914
2017-06-21,-83,5537910,2017-06-21,82074,469539439
2017-06-22,-15,5537827,2017-06-22,85750,469621513
2017-06-23,36,5537812,2017-06-23,92058,469707263
2017-06-24,-43,5537848,2017-06-24,86466,469799321
2017-06-25,-455,5537805,2017-06-25,105771,469885787
2017-06-26,8,5537350,2017-06-26,109891,469991558
2017-06-27,46,5537358,2017-06-27,90968,470101449
2017-06-28,-310,5537404,2017-06-28,86959,470192417
2017-06-29,-225,5537094,2017-06-29,97316,470279376
2017-06-30,-168,5536869,2017-06-30,87990,470376692
2017-07-01,-117,5536701,2017-07-01,80829,470464682
2017-07-02,-418,5536584,2017-07-02,89202,470545511
2017-07-03,-52,5536166,2017-07-03,95369,470634713
2017-07-04,-370,5536114,2017-07-04,86962,470730082
2017-07-05,-424,5535744,2017-07-05,89553,470817044
2017-07-06,-296,5535320,2017-07-06,78338,470906597
2017-07-07,-331,5535024,2017-07-07,78017,470984935
2017-07-08,-206,5534693,2017-07-08,74458,471062952
2017-07-09,-250,5534487,2017-07-09,80064,471137410
2017-07-10,-376,5534237,2017-07-10,88075,471217474
2017-07-11,-75,5533861,2017-07-11,89444,471305549
2017-07-12,-95,5533786,2017-07-12,84226,471394993
2017-07-13,-48,5533691,2017-07-13,79195,471479219
2017-07-14,-17,5533643,2017-07-14,81337,471558414
2017-07-15,-687,5533626,2017-07-15,0,471639751
2017-07-16,-252,5532939,2017-07-16,167341,471639751
2017-07-17,-197,5532687,2017-07-17,87303,471807092
2017-07-18,-261,5532490,2017-07-18,75340,471894395
2017-07-19,133,5532229,2017-07-19,69268,471969735
2017-07-20,-54,5532362,2017-07-20,77475,472039003
2017-07-21,-74,5532308,2017-07-21,84741,472116478
2017-07-22,-96,5532234,2017-07-22,81707,472201219
2017-07-23,-198,5532138,2017-07-23,88061,472282926
2017-07-24,-207,5531940,2017-07-24,95746,472370987
2017-07-25,-200,5531733,2017-07-25,100252,472466733
2017-07-26,-64,5531533,2017-07-26,90924,472566985
2017-07-27,-231,5531469,2017-07-27,98890,472657909
2017-07-28,-136,5531238,2017-07-28,100065,472756799
2017-07-29,184,5531102,2017-07-29,91293,472856864
2017-07-30,-836,5531286,2017-07-30,91502,472948157
2017-07-31,143,5530450,2017-07-31,112861,473039659
2017-08-01,-112,5530593,2017-08-01,117787,473152520
2017-08-02,-76,5530481,2017-08-02,111429,473270307
2017-08-03,-205,5530405,2017-08-03,118138,473381736
2017-08-04,-184,5530200,2017-08-04,113750,473499874
2017-08-05,-321,5530016,2017-08-05,101970,473613624
2017-08-06,-248,5529695,2017-08-06,97676,473715594
2017-08-07,-224,5529447,2017-08-07,108214,473813270
2017-08-08,-190,5529223,2017-08-08,111595,473921484
2017-08-09,-312,5529033,2017-08-09,99718,474033079
2017-08-10,-227,5528721,2017-08-10,94772,474132797
2017-08-11,-322,5528494,2017-08-11,81543,474227569
2017-08-12,-272,5528172,2017-08-12,165028,474309112
2017-08-13,100,5527900,2017-08-13,0,474474140
2017-08-14,26,5528000,2017-08-14,90675,474474140
2017-08-15,-70,5528026,2017-08-15,118913,474564815
2017-08-16,-145,5527956,2017-08-16,0,474683728
2017-08-17,-42,5527811,2017-08-17,190893,474683728
2017-08-18,-208,5527769,2017-08-18,95965,474874621
2017-08-19,-315,5527561,2017-08-19,94777,474970586
2017-08-20,-78,5527246,2017-08-20,87604,475065363
2017-08-21,-298,5527168,2017-08-21,90970,475152967
2017-08-22,-168,5526870,2017-08-22,0,475243937
2017-08-23,-116,5526702,2017-08-23,97761,475243937
2017-08-24,-277,5526586,2017-08-24,95998,475341698
2017-08-25,-75,5526309,2017-08-25,179281,475437696
2017-08-26,-213,5526234,2017-08-26,88234,475616977
2017-08-27,-671,5526021,2017-08-27,80750,475705211
2017-08-28,-242,5525350,2017-08-28,83057,475785961
2017-08-29,-217,5525108,2017-08-29,82980,475869018
2017-08-30,-326,5524891,2017-08-30,86649,475951998
2017-08-31,-239,5524565,2017-08-31,99852,476038647
2017-09-01,-422,5524326,2017-09-01,82048,476138499
2017-09-02,-164,5523904,2017-09-02,76796,476220547
2017-09-03,-9,5523740,2017-09-03,75819,476297343
2017-09-04,-394,5523731,2017-09-04,99146,476373162
2017-09-05,-70,5523337,2017-09-05,104328,476472308
2017-09-06,-162,5523267,2017-09-06,83500,476576636
2017-09-07,-158,5523105,2017-09-07,60608,476660136
2017-09-08,-363,5522947,2017-09-08,57874,476720744
2017-09-09,-283,5522584,2017-09-09,58833,476778618
2017-09-10,-380,5522301,2017-09-10,76058,476837451
2017-09-11,-272,5521921,2017-09-11,76824,476913509
2017-09-12,-245,5521649,2017-09-12,53225,476990333
2017-09-13,-167,5521404,2017-09-13,56880,477043558
2017-09-14,-203,5521237,2017-09-14,53709,477100438
2017-09-15,-269,5521034,2017-09-15,54372,477154147
2017-09-16,-330,5520765,2017-09-16,59772,477208519
2017-09-17,-296,5520435,2017-09-17,82515,477268291
2017-09-18,-217,5520139,2017-09-18,89415,477350806
2017-09-19,-321,5519922,2017-09-19,122405,477440221
2017-09-20,-184,5519601,2017-09-20,0,477562626
2017-09-21,-448,5519417,2017-09-21,92054,477562626
2017-09-22,-177,5518969,2017-09-22,0,477654680
2017-09-23,-143,5518792,2017-09-23,47457,477654680
2017-09-24,-444,5518649,2017-09-24,66981,477702137
2017-09-25,-257,5518205,2017-09-25,72892,477769118
2017-09-26,-178,5517948,2017-09-26,55409,477842010
2017-09-27,-26,5517770,2017-09-27,50800,477897419
2017-09-28,-250,5517744,2017-09-28,55632,477948219
2017-09-29,-178,5517494,2017-09-29,52373,478003851
2017-09-30,-112,5517316,2017-09-30,55062,478056224
2017-10-01,-144,5517204,2017-10-01,71760,478111286
2017-10-02,-65,5517060,2017-10-02,86173,478183046
2017-10-03,-193,5516995,2017-10-03,57428,478269219
2017-10-04,-120,5516802,2017-10-04,53755,478326647
2017-10-05,-167,5516682,2017-10-05,51692,478380402
2017-10-06,-189,5516515,2017-10-06,51099,478432094
2017-10-07,-945,5516326,2017-10-07,54080,478483193
2017-10-08,-180,5515381,2017-10-08,68500,478537273
2017-10-09,-63,5515201,2017-10-09,79567,478605773
2017-10-10,-468,5515138,2017-10-10,57416,478685340
2017-10-11,-220,5514670,2017-10-11,57030,478742756
2017-10-12,-210,5514450,2017-10-12,51804,478799786
2017-10-13,-224,5514240,2017-10-13,54908,478851590
2017-10-14,-82,5514016,2017-10-14,52064,478906498
2017-10-15,-352,5513934,2017-10-15,66145,478958562
2017-10-16,-181,5513582,2017-10-16,78580,479024707
2017-10-17,-115,5513401,2017-10-17,62182,479103287
2017-10-18,-296,5513286,2017-10-18,62270,479165469
2017-10-19,-196,5512990,2017-10-19,60060,479227739
2017-10-20,-351,5512794,2017-10-20,59091,479287799
2017-10-21,-236,5512443,2017-10-21,49339,479346890
2017-10-22,-209,5512207,2017-10-22,125142,479396229
2017-10-23,1,5511998,2017-10-23,0,479521371
2017-10-24,-314,5511999,2017-10-24,71623,479521371
2017-10-25,-140,5511685,2017-10-25,69354,479592994
2017-10-26,-244,5511545,2017-10-26,70922,479662348
2017-10-27,-86,5511301,2017-10-27,71824,479733270
2017-10-28,-359,5511215,2017-10-28,74272,479805094
2017-10-29,-225,5510856,2017-10-29,70944,479879366
2017-10-30,-225,5510631,2017-10-30,79351,479950310
2017-10-31,-208,5510406,2017-10-31,60587,480029661
2017-11-01,-311,5510198,2017-11-01,46254,480090248
2017-11-02,-365,5509887,2017-11-02,110260,480136502
2017-11-03,-135,5509522,2017-11-03,0,480246762
2017-11-04,-442,5509387,2017-11-04,55866,480246762
2017-11-05,-255,5508945,2017-11-05,67496,480302628
2017-11-06,-365,5508690,2017-11-06,74424,480370124
2017-11-07,-388,5508325,2017-11-07,52415,480444548
2017-11-08,-240,5507937,2017-11-08,49650,480496963
2017-11-09,-174,5507697,2017-11-09,46507,480546613
2017-11-10,-479,5507523,2017-11-10,41374,480593120
2017-11-11,-495,5507044,2017-11-11,38043,480634494
2017-11-12,-399,5506549,2017-11-12,75280,480672537
2017-11-13,-327,5506150,2017-11-13,79348,480747817
2017-11-14,-351,5505823,2017-11-14,93180,480827165
2017-11-15,-249,5505472,2017-11-15,43817,480920345
2017-11-16,-630,5505223,2017-11-16,38512,480964162
2017-11-17,-475,5504593,2017-11-17,56530,481002674
2017-11-18,-529,5504118,2017-11-18,61507,481059204
2017-11-19,-451,5503589,2017-11-19,46547,481120711
2017-11-20,-412,5503138,2017-11-20,42895,481167258
2017-11-21,-463,5502726,2017-11-21,39447,481210153
2017-11-22,-390,5502263,2017-11-22,38779,481249600
2017-11-23,-385,5501873,2017-11-23,34975,481288379
2017-11-24,-645,5501488,2017-11-24,46201,481323354
2017-11-25,-473,5500843,2017-11-25,50129,481369555
2017-11-26,-420,5500370,2017-11-26,36560,481419684
2017-11-27,-382,5499950,2017-11-27,38307,481456244
2017-11-28,-231,5499568,2017-11-28,36741,481494551
2017-11-29,-493,5499337,2017-11-29,33873,481531292
2017-11-30,-294,5498844,2017-11-30,32686,481565165
2017-12-01,-448,5498550,2017-12-01,42424,481597851
2017-12-02,-781,5498102,2017-12-02,40409,481640275
2017-12-03,-529,5497321,2017-12-03,33815,481680684
2017-12-04,-490,5496792,2017-12-04,30441,481714499
2017-12-05,-435,5496302,2017-12-05,28302,481744940
2017-12-06,-214,5495867,2017-12-06,25552,481773242
2017-12-07,-130,5495653,2017-12-07,29502,481798794
2017-12-08,-688,5495523,2017-12-08,41095,481828296
2017-12-09,-277,5494835,2017-12-09,46917,481869391
2017-12-10,-486,5494558,2017-12-10,449753,481916308
2017-12-11,3220,5494072,2017-12-11,385437,482366061
2017-12-12,1267,5497292,2017-12-12,415454,482751498
2017-12-13,1158,5498559,2017-12-13,151860,483166952
2017-12-14,136,5499717,2017-12-14,103786,483318812
2017-12-15,173,5499853,2017-12-15,97305,483422598
2017-12-16,45,5500026,2017-12-16,91671,483519903
2017-12-17,-221,5500071,2017-12-17,63726,483611574
2017-12-18,-217,5499850,2017-12-18,54317,483675300
2017-12-19,-135,5499633,2017-12-19,54793,483729617
2017-12-20,-303,5499498,2017-12-20,53374,483784410
2017-12-21,-339,5499195,2017-12-21,49998,483837784
2017-12-22,-252,5498856,2017-12-22,55175,483887782
2017-12-23,-278,5498604,2017-12-23,50346,483942957
2017-12-24,368,5498326,2017-12-24,37982,483993303
2017-12-25,-250,5498694,2017-12-25,45678,484031285
2017-12-26,-269,5498444,2017-12-26,60616,484076963
2017-12-27,-203,5498175,2017-12-27,62063,484137579
2017-12-28,-319,5497972,2017-12-28,63375,484199642
2017-12-29,-334,5497653,2017-12-29,63618,484263017
2017-12-30,-313,5497319,2017-12-30,55578,484326635
2017-12-31,-417,5497006,2017-12-31,74608,484382213
2018-01-01,-537,5496589,2018-01-01,88147,484456821
2018-01-02,-244,5496052,2018-01-02,79688,484544968
2018-01-03,-352,5495808,2018-01-03,70904,484624656
2018-01-04,-266,5495456,2018-01-04,67230,484695560
2018-01-05,-369,5495190,2018-01-05,67127,484762790
2018-01-06,-354,5494821,2018-01-06,73675,484829917
2018-01-07,-380,5494467,2018-01-07,59273,484903592
2018-01-08,-318,5494087,2018-01-08,49234,484962865
2018-01-09,-502,5493769,2018-01-09,48194,485012099
2018-01-10,-2986,5493267,2018-01-10,29107,485060293
2018-01-11,-608,5490281,2018-01-11,56389,485089400
2018-01-12,-396,5489673,2018-01-12,49012,485145789
2018-01-13,-593,5489277,2018-01-13,52595,485194801
2018-01-14,-655,5488684,2018-01-14,39017,485247396
2018-01-15,-295,5488029,2018-01-15,35202,485286413
2018-01-16,-498,5487734,2018-01-16,36512,485321615
2018-01-17,-246,5487236,2018-01-17,36825,485358127
2018-01-18,-372,5486990,2018-01-18,34581,485394952
2018-01-19,-884,5486618,2018-01-19,45841,485429533
2018-01-20,-796,5485734,2018-01-20,49919,485475374
2018-01-21,-565,5484938,2018-01-21,31853,485525293
2018-01-22,-364,5484373,2018-01-22,30412,485557146
2018-01-23,-466,5484009,2018-01-23,30771,485587558
2018-01-24,-684,5483543,2018-01-24,22623,485618329
2018-01-25,-498,5482859,2018-01-25,33270,485640952
2018-01-26,-573,5482361,2018-01-26,38912,485674222
2018-01-27,-629,5481788,2018-01-27,43473,485713134
2018-01-28,-537,5481159,2018-01-28,38110,485756607
2018-01-29,-460,5480622,2018-01-29,31339,485794717
2018-01-30,-456,5480162,2018-01-30,36668,485826056
2018-01-31,-354,5479706,2018-01-31,29745,485862724
2018-02-01,-440,5479352,2018-02-01,26235,485892469
2018-02-02,-357,5478912,2018-02-02,47772,485918704
2018-02-03,-670,5478555,2018-02-03,56240,485966476
2018-02-04,-391,5477885,2018-02-04,40176,486022716
2018-02-05,-403,5477494,2018-02-05,43320,486062892
2018-02-06,-201,5477091,2018-02-06,43668,486106212
2018-02-07,-388,5476890,2018-02-07,34344,486149880
2018-02-08,-373,5476502,2018-02-08,39904,486184224
2018-02-09,-167,5476129,2018-02-09,22776,486224128
2018-02-10,-800,5475962,2018-02-10,76767,486246904
2018-02-11,-469,5475162,2018-02-11,36707,486323671
2018-02-12,-333,5474693,2018-02-12,57709,486360378
2018-02-13,-292,5474360,2018-02-13,49624,486418087
2018-02-14,-258,5474068,2018-02-14,46923,486467711
2018-02-15,-262,5473810,2018-02-15,35956,486514634
2018-02-16,-161,5473548,2018-02-16,38730,486550590
2018-02-17,-720,5473387,2018-02-17,97799,486589320
2018-02-18,-452,5472667,2018-02-18,51222,486687119
2018-02-19,-518,5472215,2018-02-19,39857,486738341
2018-02-20,-316,5471697,2018-02-20,50280,486778198
2018-02-21,-602,5471381,2018-02-21,31832,486828478
2018-02-22,-309,5470779,2018-02-22,39883,486860310
2018-02-23,-550,5470470,2018-02-23,49091,486900193
2018-02-24,-421,5469920,2018-02-24,46286,486949284
2018-02-25,-301,5469499,2018-02-25,37861,486995570
2018-02-26,-227,5469198,2018-02-26,31893,487033431
2018-02-27,-422,5468971,2018-02-27,40653,487065324
2018-02-28,-210,5468549,2018-02-28,44453,487105977
2018-03-01,-374,5468339,2018-03-01,50398,487150430
2018-03-02,-402,5467965,2018-03-02,45606,487200828
2018-03-03,-510,5467563,2018-03-03,52196,487246434
2018-03-04,-245,5467053,2018-03-04,44654,487298630
2018-03-05,-209,5466808,2018-03-05,36633,487343284
2018-03-06,-267,5466599,2018-03-06,30855,487379917
2018-03-07,-247,5466332,2018-03-07,31445,487410772
2018-03-08,-303,5466085,2018-03-08,30135,487442217
2018-03-09,-357,5465782,2018-03-09,36216,487472352
2018-03-10,-355,5465425,2018-03-10,36104,487508568
2018-03-11,-293,5465070,2018-03-11,29593,487544672
2018-03-12,-420,5464777,2018-03-12,32183,487574265
2018-03-13,-291,5464357,2018-03-13,27616,487606448
2018-03-14,-290,5464066,2018-03-14,26052,487634064
2018-03-15,-291,5463776,2018-03-15,25845,487660116
2018-03-16,-394,5463485,2018-03-16,35004,487685961
2018-03-17,-422,5463091,2018-03-17,35426,487720965
2018-03-18,-376,5462669,2018-03-18,28672,487756391
2018-03-19,-310,5462293,2018-03-19,23523,487785063
2018-03-20,-383,5461983,2018-03-20,25425,487808586
2018-03-21,-360,5461600,2018-03-21,22585,487834011
2018-03-22,-453,5461240,2018-03-22,19187,487856596
2018-03-23,-451,5460787,2018-03-23,29459,487875783
2018-03-24,-570,5460336,2018-03-24,30862,487905242
2018-03-25,-554,5459766,2018-03-25,25032,487936104
2018-03-26,-337,5459212,2018-03-26,24426,487961136
2018-03-27,-443,5458875,2018-03-27,25185,487985562
2018-03-28,-412,5458432,2018-03-28,26850,488010747
2018-03-29,-469,5458020,2018-03-29,33595,488037597
2018-03-30,-539,5457551,2018-03-30,29445,488071192
2018-03-31,-620,5457012,2018-03-31,29576,488100637
2018-04-01,-545,5456392,2018-04-01,34592,488130213
2018-04-02,-314,5455847,2018-04-02,37388,488164805
2018-04-03,-502,5455533,2018-04-03,33796,488202193
2018-04-04,-465,5455031,2018-04-04,34548,488235989
2018-04-05,-347,5454566,2018-04-05,28613,488270537
2018-04-06,-537,5454219,2018-04-06,33310,488299150
2018-04-07,-512,5453682,2018-04-07,35440,488332460
2018-04-08,-406,5453170,2018-04-08,34075,488367900
2018-04-09,91,5452764,2018-04-09,34968,488401975
2018-04-10,123,5452855,2018-04-10,33383,488436943
2018-04-11,-68,5452978,2018-04-11,32904,488470326
2018-04-12,-286,5452910,2018-04-12,30850,488503230
2018-04-13,-241,5452624,2018-04-13,30004,488534080
2018-04-14,-503,5452383,2018-04-14,34411,488564084
2018-04-15,-370,5451880,2018-04-15,26765,488598495
2018-04-16,-504,5451510,2018-04-16,25160,488625260
2018-04-17,-257,5451006,2018-04-17,22016,488650420
2018-04-18,-329,5450749,2018-04-18,21202,488672436
2018-04-19,-453,5450420,2018-04-19,21721,488693638
2018-04-20,-361,5449967,2018-04-20,28613,488715359
2018-04-21,-474,5449606,2018-04-21,32201,488743972
2018-04-22,-276,5449132,2018-04-22,22724,488776173
2018-04-23,-357,5448856,2018-04-23,19606,488798897
2018-04-24,-281,5448499,2018-04-24,31129,488818503
2018-04-25,-317,5448218,2018-04-25,25058,488849632
2018-04-26,-431,5447901,2018-04-26,22560,488874690
2018-04-27,-716,5447470,2018-04-27,29780,488897250
2018-04-28,-501,5446754,2018-04-28,29250,488927030
2018-04-29,-436,5446253,2018-04-29,23106,488956280
2018-04-30,-325,5445817,2018-04-30,23896,488979386
2018-05-01,-575,5445492,2018-05-01,22365,489003282
2018-05-02,-383,5444917,2018-05-02,21363,489025647
2018-05-03,-480,5444534,2018-05-03,21984,489047010
2018-05-04,-390,5444054,2018-05-04,24645,489068994
2018-05-05,-527,5443664,2018-05-05,24342,489093639
2018-05-06,-403,5443137,2018-05-06,24141,489117981
2018-05-07,-376,5442734,2018-05-07,20749,489142122
2018-05-08,-502,5442358,2018-05-08,22343,489162871
2018-05-09,-361,5441856,2018-05-09,19689,489185214
2018-05-10,-393,5441495,2018-05-10,17717,489204903
2018-05-11,-586,5441102,2018-05-11,30365,489222620
2018-05-12,-393,5440516,2018-05-12,35307,489252985
2018-05-13,-529,5440123,2018-05-13,23416,489288292
2018-05-14,-455,5439594,2018-05-14,22458,489311708
2018-05-15,-565,5439139,2018-05-15,21182,489334166
2018-05-16,-321,5438574,2018-05-16,21137,489355348
2018-05-17,-280,5438253,2018-05-17,19552,489376485
2018-05-18,-339,5437973,2018-05-18,22319,489396037
2018-05-19,-541,5437634,2018-05-19,26776,489418356
2018-05-20,-499,5437093,2018-05-20,19661,489445132
2018-05-21,-447,5436594,2018-05-21,22135,489464793
2018-05-22,-275,5436147,2018-05-22,21216,489486928
2018-05-23,-524,5435872,2018-05-23,23750,489508144
2018-05-24,-724,5435348,2018-05-24,24656,489531894
2018-05-25,-504,5434624,2018-05-25,26827,489556550
2018-05-26,-706,5434120,2018-05-26,27677,489583377
2018-05-27,-502,5433414,2018-05-27,30703,489611054
2018-05-28,-536,5432912,2018-05-28,31376,489641757
2018-05-29,-542,5432376,2018-05-29,29930,489673133
2018-05-30,-577,5431834,2018-05-30,34205,489703063
2018-05-31,-514,5431257,2018-05-31,31951,489737268
2018-06-01,-459,5430743,2018-06-01,29724,489769219
2018-06-02,-402,5430284,2018-06-02,36391,489798943
2018-06-03,-482,5429882,2018-06-03,36997,489835334
2018-06-04,-377,5429400,2018-06-04,34342,489872331
2018-06-05,-323,5429023,2018-06-05,31778,489906673
2018-06-06,-336,5428700,2018-06-06,29704,489938451
2018-06-07,-375,5428364,2018-06-07,28305,489968155
2018-06-08,-499,5427989,2018-06-08,30063,489996460
2018-06-09,-507,5427490,2018-06-09,29886,490026523
2018-06-10,-465,5426983,2018-06-10,29605,490056409
2018-06-11,-693,5426518,2018-06-11,26630,490086014
2018-06-12,-921,5425825,2018-06-12,28720,490112644
2018-06-13,-525,5424904,2018-06-13,27075,490141364
2018-06-14,-649,5424379,2018-06-14,24308,490168439
2018-06-15,-916,5423730,2018-06-15,28839,490192747
2018-06-16,-1182,5422814,2018-06-16,27938,490221586
2018-06-17,-1081,5421632,2018-06-17,24528,490249524
2018-06-18,-947,5420551,2018-06-18,22205,490274052
2018-06-19,-739,5419604,2018-06-19,21147,490296257
2018-06-20,-733,5418865,2018-06-20,17701,490317404
